Article.ID,User.ID,User.Name,KE..Up.,Novel.KE.Up.,KE.up..biomarker,Novel.other.biomarker.KE.up.,KE.Down.,Novel.KE.Down.,KE.down..biomarker,Novel.other.biomarker.KE.down.,Stressor.BA.BP.,chemical,Species.BA.BP.,Test.system.BA.BP.,Dose.concordance..EP.,Time.concordance..EP.,Correlation.KEs..BP.ES.,Evidence.level..EP.ES.BP.BA.,assay.method..EP.ES.BA.,DOI,Notes
14968467,6181,anouk.verhoeven,liver_triglyceride_accumulation,NA,triglyceride;novel,free fatty acids,mitochondrial_beta_oxidation,NA,cpt1;novel,acadm,pollutant,perfluorooctane_sulfonate(pfos),fish,in vivo,nomeasure,nomeasure,positive correlation,transcriptional,transcriptional study,10.1016/j.aquatox.2016.04.013,"increase was seen in gene expression of cpt1a and acadm, indication a compensatory reaction to the decease in atp levels fa oxidation"
14968860,6181,anouk.verhoeven,liver_triglyceride_accumulation,NA,novel,free fatty acids,mitochondrial_beta_oxidation,NA,not defined,NA,biocide,trans_nonachlor,rat,in vitro,nomeasure,nomeasure,positive correlation,functional,inhibitor/inducer study,10.1016,increase in mito beta-oxidation is probably an compensatory mechanisms due to increase in intracellular fas
14969428,4990,ramiro.jover,liver_triglyceride_accumulation,NA,triglyceride,NA,mitochondrial_beta_oxidation,NA,novel,"EHHADH, ALDH3A2",pharmaceutical,valproic_acid_(vpa),human,in vitro,nomeasure,nomeasure,positive correlation,transcriptional;translational,translational study;transcriptional study,10.3389/fphar.2019.00819,
14969431,6181,anouk.verhoeven,liver_triglyceride_accumulation,NA,not defined,NA,mitochondrial_disruption,NA,not defined,NA,alcohol,ethanol,mouse,in vivo,nomeasure,nomeasure,positive correlation,functional,knockout study;inhibitor/inducer study,10.1038/s41419-021-03980-6,"used fenofibrate was added to activate ppara , they used tem analysis"
14969572,5956,birgitte.lindeman,liver_triglyceride_accumulation,NA,triglyceride,NA,mitochondrial_disruption,NA,other,alt,alcohol,ethanol,mouse,in vivo,nomeasure,nomeasure,positive correlation,functional;translational,other,doi:10.1371,"isocaloric diet, either hfd or etoh"
14968405,6128,jian.jiang,liver_triglyceride_accumulation,NA,triglyceride,NA,novel_inflammation,inflammation,novel,"tnf-a, il-6, il-1b",pollutant,triclosan_(tcs),mouse,in vivo,yes,nomeasure,positive correlation,transcriptional;functional,transcriptional study;inhibitor/inducer study,10.1016/j.jhazmat.2019.121310,
14968525,6128,jian.jiang,liver_triglyceride_accumulation,NA,triglyceride,NA,novel_inflammation,inflammation,novel,"tgfb1, il-10",pharmaceutical,mildronate,fish,in vivo,nomeasure,nomeasure,negative correlation,functional;transcriptional,transcriptional study;inhibitor/inducer study,10.1016/j.fsi.2017.07.058,
14968525,6128,jian.jiang,liver_triglyceride_accumulation,NA,triglyceride,NA,novel_inflammation,inflammation,novel,"tnf-a, il-8",pharmaceutical,mildronate,fish,in vivo,nomeasure,nomeasure,positive correlation,functional;transcriptional,transcriptional study;inhibitor/inducer study,10.1016/j.fsi.2017.07.058,
14968077,6181,anouk.verhoeven,liver_triglyceride_accumulation,NA,triglyceride,NA,novel_lipolysis,lipolysis,novel,atgl,pharmaceutical,benzobromarone,mouse,in vivo,yes,nomeasure,positive correlation,transcriptional;functional,transcriptional study,https://doi.org/10.1016/j.bbadis.2018.03.009,compensatory mechanism proposed
14969509,5829,anna.s.rapisarda,liver_triglyceride_accumulation,NA,cholesterol,NA,novel_liver_dysfuntion,liver dysfuntion,ast,NA,pharmaceutical,tunicamycin,mouse,in vivo,nomeasure,yes,positive correlation,transcriptional;translational,knockout study,10.3390/ijms19082291,liver-specific bap31-depleted mice
14969509,5829,anna.s.rapisarda,liver_triglyceride_accumulation,NA,other,ffas,novel_liver_dysfuntion,liver dysfuntion,ast,NA,pharmaceutical,tunicamycin,mouse,in vivo,nomeasure,yes,positive correlation,transcriptional;translational,knockout study,10.3390/ijms19082291,liver-specific bap31-depleted mice
14969509,5829,anna.s.rapisarda,liver_triglyceride_accumulation,NA,triglyceride,NA,novel_liver_dysfuntion,liver dysfuntion,ast,NA,pharmaceutical,tunicamycin,mouse,in vivo,nomeasure,yes,positive correlation,transcriptional;translational,knockout study,10.3390/ijms19082291,liver-specific bap31-depleted mice
14969509,5829,anna.s.rapisarda,liver_triglyceride_accumulation,NA,cholesterol,NA,novel_liver_dysfuntion,liver dysfuntion,other,alt,pharmaceutical,tunicamycin,mouse,in vivo,nomeasure,yes,positive correlation,transcriptional;translational,knockout study,10.3390/ijms19082291,liver-specific bap31-depleted mice
14969509,5829,anna.s.rapisarda,liver_triglyceride_accumulation,NA,other,ffas,novel_liver_dysfuntion,liver dysfuntion,other,alt,pharmaceutical,tunicamycin,mouse,in vivo,nomeasure,yes,positive correlation,transcriptional;translational,knockout study,10.3390/ijms19082291,liver-specific bap31-depleted mice
14969509,5829,anna.s.rapisarda,liver_triglyceride_accumulation,NA,triglyceride,NA,novel_liver_dysfuntion,liver dysfuntion,other,alt,pharmaceutical,tunicamycin,mouse,in vivo,nomeasure,yes,positive correlation,transcriptional;translational,knockout study,10.3390/ijms19082291,liver-specific bap31-depleted mice
14968164,6128,jian.jiang,liver_triglyceride_accumulation,NA,triglyceride,NA,novel_oxidative_stress,oxidative stress,novel,"ros, xo",food supplement,fructose,rat,in vivo,nomeasure,nomeasure,positive correlation,functional;translational,inhibitor/inducer study;translational study,10.1016/j.tice.2021.101595,
14968284,6181,anouk.verhoeven,liver_triglyceride_accumulation,NA,novel,free fatty acid intracellular,novel_oxidative_stress,oxidative stress,novel,ros and mda,pollutant,decabromodiphinyl_ether_(bde_209),mouse,in vivo,nomeasure,nomeasure,positive correlation,translational;functional,other,https://doi.org/10.1016/j.tox.2021.153015,"bde-209 was combined with hf diet, the combination resulted in a synergetic effect (sig increase compared to seperate administration). bde-209 alone, gave a sig increase in ros but not in mda. the combined gave a sig increase in ros and mda"
14968284,6181,anouk.verhoeven,liver_triglyceride_accumulation,NA,triglyceride,NA,novel_oxidative_stress,oxidative stress,novel,ros and mda,pollutant,decabromodiphinyl_ether_(bde_209),human,in vitro,nomeasure,nomeasure,positive correlation,translational;functional,other,https://doi.org/10.1016/j.tox.2021.153015,"bde-209 was combined with hf diet, the combination resulted in a synergetic effect (sig increase compared to seperate administration). bde-209 alone, gave a sig increase in ros but not in mda. the combined gave a sig increase in ros and mda"
14968449,6128,jian.jiang,liver_triglyceride_accumulation,NA,triglyceride,NA,novel_oxidative_stress,oxidative stress,novel,ros,food supplement,palmitic_acid,human,in vitro,nomeasure,nomeasure,positive correlation,functional;translational,inhibitor/inducer study;translational study,10.4014/jmb.1707.07061,ros levels was measured using a commercial dcfda assay kit. fluorescence was measured at 485/530 nm
14968525,6128,jian.jiang,liver_triglyceride_accumulation,NA,triglyceride,NA,novel_oxidative_stress,oxidative stress,novel,gpx1 (gpx),pharmaceutical,mildronate,fish,in vivo,nomeasure,nomeasure,negative correlation,functional;transcriptional,transcriptional study;inhibitor/inducer study,10.1016/j.fsi.2017.07.058,
14968525,6128,jian.jiang,liver_triglyceride_accumulation,NA,triglyceride,NA,novel_oxidative_stress,oxidative stress,novel,hspa4 (hsp70),pharmaceutical,mildronate,fish,in vivo,nomeasure,nomeasure,positive correlation,functional;transcriptional,transcriptional study;inhibitor/inducer study,10.1016/j.fsi.2017.07.058,
14968077,6181,anouk.verhoeven,liver_triglyceride_accumulation,NA,triglyceride,NA,nucleus_distortion,NA,not defined,NA,pharmaceutical,benzobromarone,mouse,in vivo,nomeasure,nomeasure,positive correlation,functional,other,https://doi.org/10.1016/j.bbadis.2018.03.009,nucleus distortion linked to macrovascular steatosis
14968077,6181,anouk.verhoeven,liver_triglyceride_accumulation,NA,triglyceride,NA,peroxisomal_beta_oxidation,NA,acox1,NA,pharmaceutical,benzobromarone,mouse,in vivo,yes,nomeasure,positive correlation,transcriptional;functional,transcriptional study,https://doi.org/10.1016/j.bbadis.2018.03.009,compensatory mechanism proposed
14968319,6181,anouk.verhoeven,liver_triglyceride_accumulation,NA,novel,free fatty acids,peroxisomal_beta_oxidation,NA,acox1,NA,pollutant,bisphenol_a_(bpa),mouse,in vivo,nomeasure,nomeasure,negative correlation,transcriptional,transcriptional study,https://doi.org/10.1016/j.lfs.2020.118012,"ovariectomized mice, already more sensitive to steatosis. the group ovx hfd mice exposed to the compound leaded to increased fao mito and perox as a compensatory mech"
14968467,6181,anouk.verhoeven,liver_triglyceride_accumulation,NA,triglyceride;novel,free fatty acids,peroxisomal_beta_oxidation,NA,acox1,NA,pollutant,perfluorooctane_sulfonate(pfos),fish,in vivo,nomeasure,nomeasure,positive correlation,transcriptional,transcriptional study,10.1016/j.aquatox.2016.04.013,"increase was seen in gene expression of acox1, indication a compensatory reaction to the decease in atp levels fa oxidation"
14968761,6181,anouk.verhoeven,liver_triglyceride_accumulation,NA,novel,free fatty acids,protein_kinase_changes_novel_mtorc1,NA,novel_mtorc1,mtroc1,alcohol,ethanol,mouse,in vivo,nomeasure,nomeasure,positive correlation,functional;translational,translational study,10.3390/cells10102730,NA
14968761,6181,anouk.verhoeven,liver_triglyceride_accumulation,NA,novel,free fatty acids,protein_kinase_changes_novel_mtorc1,NA,novel_mtorc1,mtroc1,alcohol,ethanol,mouse,in vitro,nomeasure,nomeasure,positive correlation,functional;translational,translational study,10.3390/cells10102730,NA
14968050,6181,anouk.verhoeven,liver_triglyceride_accumulation,NA,triglyceride,NA,steatosis,NA,triglyceride;ast,NA,biocide,thiamethoxan,mouse,in vivo,yes,nomeasure,positive correlation,functional,other,,ast was measured in the plasma and tg in the liver and plasma
14968077,6181,anouk.verhoeven,liver_triglyceride_accumulation,NA,triglyceride,NA,steatosis,NA,novel,alt,pharmaceutical,benzobromarone,mouse,in vivo,yes,nomeasure,positive correlation,functional,other,https://doi.org/10.1016/j.bbadis.2018.03.009,NA
14968126,6181,anouk.verhoeven,liver_triglyceride_accumulation,NA,triglyceride,NA,steatosis,NA,triglyceride;other,ffa,food supplement,uric_acid,mouse,in vivo,nomeasure,nomeasure,positive correlation,functional,knockout study,10.1152/ajpendo.00518.2020,NA
14968169,6128,jian.jiang,liver_triglyceride_accumulation,NA,triglyceride,NA,steatosis,NA,triglyceride,NA,pollutant,perfluorooctane_sulfonate(pfos),fish,in vivo,nomeasure,nomeasure,positive correlation,functional,inhibitor/inducer study,10.1016/j.envint.2019.105262,
14968169,6128,jian.jiang,liver_triglyceride_accumulation,NA,triglyceride,NA,steatosis,NA,triglyceride;cholesterol,NA,pollutant,6:2_chlorinated_polyfluoroalkyl_ether_sulfonate_(6:2_cl_pfesa),fish,in vivo,nomeasure,nomeasure,positive correlation,functional,inhibitor/inducer study,10.1016/j.envint.2019.105262,
14968169,6128,jian.jiang,liver_triglyceride_accumulation,NA,triglyceride,NA,steatosis,NA,triglyceride;cholesterol,NA,pollutant,chlorinated_polyfluorooctane_sulfonate_(cl_pfos),fish,in vivo,nomeasure,nomeasure,positive correlation,functional,inhibitor/inducer study,10.1016/j.envint.2019.105262,
14968181,7549,marth.stinckens,liver_triglyceride_accumulation,NA,not defined,NA,steatosis,NA,not defined,NA,pharmaceutical,anabolic_steroids,mouse,in vivo,nomeasure,nomeasure,positive correlation,functional,transcriptional study;other,10.1016/j.fct.2018.04.056,NA
14968220,6181,anouk.verhoeven,liver_triglyceride_accumulation,NA,triglyceride,NA,steatosis,NA,triglyceride,NA,pharmaceutical,fluoxetine,mouse,in vivo,yes,nomeasure,positive correlation,functional,other,10.1002/jat.4109,tg levels determined in the plasma
14968260,6181,anouk.verhoeven,liver_triglyceride_accumulation,NA,triglyceride,NA,steatosis,NA,triglyceride,NA,biocide,chlorpyrifos_(cps),rat,in vitro,yes,yes,positive correlation,functional;translational,other;translational study,doi.org/10.1016/j.tiv.2016.01.002.,tg hepatic
14968281,6181,anouk.verhoeven,liver_triglyceride_accumulation,NA,triglyceride,NA,steatosis,NA,triglyceride,NA,pharmaceutical,valproic_acid_(vpa),human,in vitro,nomeasure,nomeasure,positive correlation,functional,inhibitor/inducer study,10.1016/j.tox.2020.152585.,NA
14968281,6181,anouk.verhoeven,liver_triglyceride_accumulation,NA,triglyceride,NA,steatosis,NA,triglyceride;cholesterol,NA,pharmaceutical,valproic_acid_(vpa),mouse,in vivo,nomeasure,nomeasure,positive correlation,functional,inhibitor/inducer study,10.1016/j.tox.2020.152585.,tg and tc measured in the liver
14968284,6181,anouk.verhoeven,liver_triglyceride_accumulation,NA,triglyceride,NA,steatosis,NA,triglyceride,NA,pollutant,decabromodiphinyl_ether_(bde_209),mouse,in vivo,nomeasure,nomeasure,positive correlation,translational;functional,other,https://doi.org/10.1016/j.tox.2021.153015,identified by histo of liver
14968292,6181,anouk.verhoeven,liver_triglyceride_accumulation,NA,triglyceride;novel,adrp,steatosis,NA,not defined,NA,pharmaceutical,valproic_acid_(vpa),human,in vitro,yes,yes,positive correlation,functional,other,https://doi.org/10.1016/j.bcp.2020.113860,NA
14968297,6181,anouk.verhoeven,liver_triglyceride_accumulation,NA,not defined,NA,steatosis,NA,triglyceride,NA,alcohol,ethanol,mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional,transcriptional study;inhibitor/inducer study,https://doi.org/10.1016/j.cbi.2018.04.002,triglicerides in the liver
14968357,6181,anouk.verhoeven,liver_triglyceride_accumulation,NA,triglyceride,NA,steatosis,NA,triglyceride,NA,pharmaceutical,fluoxetine,rat,in vitro,nomeasure,yes,positive correlation,functional,inhibitor/inducer study,,NA
14968369,6181,anouk.verhoeven,liver_triglyceride_accumulation,NA,triglyceride,NA,steatosis,NA,triglyceride;novel,alt,food supplement,conjugated_linoleic_acid_(cla),mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;functional,transcriptional study;knockout study;inhibitor/inducer study,10.1002/jcp.30157,alt and tg levels were measured in the plasma (correlated to steatosis diagnosis)
14968400,6181,anouk.verhoeven,liver_triglyceride_accumulation,NA,triglyceride;novel,lipid droplets,steatosis,NA,triglyceride;ast;other,alt,pollutant,bisphenol_a_(bpa),mouse,in vivo,no,nomeasure,positive correlation,functional,other,10.1016/j.fct.2019.110786.,NA
14968408,6128,jian.jiang,liver_triglyceride_accumulation,NA,triglyceride,NA,steatosis,NA,novel,"cell death, ldh, cytochrome c",biocide,mancozeb,human,in vitro,yes,nomeasure,positive correlation,translational;functional,translational study;inhibitor/inducer study,0.1016/j.toxlet.2016.03.004,"mtt, oil red staining, western blot"
14968465,6181,anouk.verhoeven,liver_triglyceride_accumulation,NA,triglyceride,NA,steatosis,NA,triglyceride;ast;other,alt,pharmaceutical,lomitapide,rat,in vivo,nomeasure,nomeasure,positive correlation,functional,other;inhibitor/inducer study,10.1016/j.taap.2021.115825,increase in alt and ast serum levels
14968467,6181,anouk.verhoeven,liver_triglyceride_accumulation,NA,triglyceride;novel,free fatty acids,steatosis,NA,triglyceride;other,atp,pollutant,perfluorooctane_sulfonate(pfos),fish,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;functional,other,10.1016/j.aquatox.2016.04.013,tg and atp measured in the liver
14968515,6128,jian.jiang,liver_triglyceride_accumulation,NA,triglyceride,NA,steatosis,NA,triglyceride,NA,food supplement,fructose,mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional,transcriptional study,10.1016/j.jnutbio.2016.09.010,serum tg
14968515,6128,jian.jiang,liver_triglyceride_accumulation,NA,triglyceride,NA,steatosis,NA,triglyceride,NA,food supplement,high_fructose_corn_syrup_55_(hfcs_55),mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional,transcriptional study,10.1016/j.jnutbio.2016.09.010,serum tg
14968531,7736,joost.boeckmans,liver_triglyceride_accumulation,NA,not defined,NA,steatosis,NA,not defined,NA,food supplement,fructose,mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;translational,transcriptional study;translational study,http://dx.doi.org/10.1016/j.bbalip.2015.11.005,
14968537,7736,joost.boeckmans,liver_triglyceride_accumulation,NA,not defined,NA,steatosis,NA,not defined,NA,pharmaceutical,t0901317,human,in vitro,nomeasure,no,positive correlation,transcriptional;translational,transcriptional study;translational study,https://doi.org/10.1016/j.bbalip.2017.11.002,
14968541,7736,joost.boeckmans,liver_triglyceride_accumulation,NA,not defined,NA,steatosis,NA,not defined,NA,alcohol,ethanol,mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;translational,transcriptional study;translational study,https://doi.org/10.1016/j.bbalip.2019.158521,
14968564,6181,anouk.verhoeven,liver_triglyceride_accumulation,NA,triglyceride,NA,steatosis,NA,triglyceride,NA,pollutant,pm_2.5,human,in vitro,nomeasure,nomeasure,positive correlation,functional,inhibitor/inducer study,https://doi.org/10.1016/j.envpol.2019.01.112,"vldl secretion, lipogenesis and fao were also modulated but cd36 was the main mechanism"
14968566,6181,anouk.verhoeven,liver_triglyceride_accumulation,NA,triglyceride,NA,steatosis,NA,triglyceride,NA,pollutant,triphenyl_phosphate_(tphp),human,in vitro,yes,no,positive correlation,functional,other,10.1016/j.envpol.2021.117855.,NA
14968566,6181,anouk.verhoeven,liver_triglyceride_accumulation,NA,triglyceride,NA,steatosis,NA,triglyceride,NA,pollutant,tricresyl_phosphate_(tmpp),human,in vitro,yes,no,positive correlation,functional,other,10.1016/j.envpol.2021.117855.,NA
14968566,6181,anouk.verhoeven,liver_triglyceride_accumulation,NA,triglyceride,NA,steatosis,NA,triglyceride,NA,pollutant,2_ethylhexyl_diphenyl_phosphate_(ehdpp),human,in vitro,yes,no,positive correlation,functional,other,10.1016/j.envpol.2021.117855.,NA
